n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,Recovery Error with M-NMF,Recovery Error with SLPA,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,400,5,40,0.001398162,0.038239868,4.00E-06,15,0.194,0.498,500,116.886117,50,2,0.171815878,0.017181588,1,0.25
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.202,0.4,500,116.886117,50,2,0.171815878,0.017181588,1,0.25
30000,400,5,60,3.66E-05,0.001007541,1.93E-07,15,0.198,0.902,500,116.886117,50,2,0.171815878,0.017181588,1,0.25
30000,400,5,40,7.75E-17,6.71E-08,1.19E-31,15,0.21,0.376,2000,708.772234,50,2,0.687263511,0.017181588,1,0.25
30000,400,5,50,7.00E-21,1.76E-09,4.05E-32,15,0.212,0.752,2000,708.772234,50,2,0.687263511,0.017181588,1,0.25
30000,400,5,60,3.03E-24,1.60E-10,1.98E-32,15,0.196,0.516,2000,708.772234,50,2,0.687263511,0.017181588,1,0.25
