n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,Recovery Error with BigClam,Recovery Error with M-NMF,Recovery Error with SLPA,Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000.0,400.0,5.0,60.0,3.659142657774906e-05,0.0010075406497691013,1.9303955881215234e-07,15.0,0.894,0.242,0.56,0.252,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
30000.0,400.0,5.0,30.0,0.006815932058100701,0.2316307880937211,5.2525592546509915e-06,15.0,0.9,0.21599999999999997,0.07750000000000001,0.9,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
30000.0,400.0,5.0,10.0,0.18157754482490135,1.0,8.690900217186623e-22,15.0,0.9,0.19999999999999996,0.07750000000000001,0.6544000000000001,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
30000.0,400.0,5.0,2.0,1.0,0.011677076646347364,1.0,15.0,0.9,0.19600000000000006,0.9,0.9080128205128205,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
