n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,Recovery Error with BigClam,Recovery Error with M-NMF,Recovery Error with SLPA,Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000.0,20.0,5.0,50.0,1.0,1.0,1.0,15.0,0.886,0.17400000000000004,0.7,0.4139999999999999,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
30000.0,50.0,5.0,50.0,1.0,1.0,1.0,15.0,0.89,0.236,0.89,0.4979999999999999,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
30000.0,100.0,5.0,50.0,1.0,1.0,0.35519592222394625,15.0,0.896,0.21799999999999997,0.896,0.43200000000000005,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
30000.0,150.0,5.0,50.0,0.3265376832083656,1.0,0.04017208855053576,15.0,0.608,0.21999999999999997,0.608,0.6255999999999999,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.3333333333333333
