n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,Recovery Error with M-NMF,Recovery Error with SLPA,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,400,5,40,0.001398162,0.038239868,4.00E-06,15,0.192,0.516,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.232,0.264,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,60,3.66E-05,0.001007541,1.93E-07,15,0.258,0.492,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,40,0.001398162,0.038239868,4.00E-06,15,0.202,0.406,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.22,0.542,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,60,3.66E-05,0.001007541,1.93E-07,15,0.2,0.354,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,40,0.001398162,0.038239868,4.00E-06,15,0.2,0.366,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.228,0.592,500,116.886117,50,2,0.171815878,0.017181588,1,0.49
