n,m,K,r,Failure UB Error,Community Recovery Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,500,5,2,1,0.212,0.001787653,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,500,5,6,0.44695626,0.56608,1,1.18E-14,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,500,5,10,0.052829564,0.246,1,2.02E-27,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,500,5,16,0.011022522,0.5584,1,1.32E-12,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,500,5,20,0.005393586,0.56736,0.773182836,2.70E-09,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
